老先覺麻辣窯燒鍋(台北和平三店),4.7,903,火鍋中港
登豐港式麻辣,4.6,235,火鍋中港
無老鍋(台北新生店),4.7,9,火鍋中港
珍味臭臭鍋(台北吳興店),5,2,火鍋中港
火山一鍋,4.3,353,火鍋中港
8鍋臭臭鍋(北醫吳興店),4.6,1143,火鍋中港
上官木桶鍋(台北中正店),4.3,80,火鍋中港
老先覺功夫窯燒鍋(台北北醫店),4.7,8,火鍋中港
5味臭臭鍋(台北大安店),4.5,68,火鍋中港
無老鍋(台北市民店),5,6,火鍋中港
朕店麻辣鍋,4.5,20,火鍋中港
華山鍋燒小火鍋,4.1,1251,火鍋中港
一品花雕雞,4.5,113,火鍋中港
麗媽香香鍋(台北延吉店),4.6,6846,火鍋中港
金霸臭臭鍋,4.5,820,火鍋中港
王鍋屋酸白菜鍋專門店,3.8,5,火鍋中港
老四川巴蜀麻辣燙(台北長安店),5,1,火鍋中港
米塔石頭火鍋(台北市府店),4,4,火鍋中港
鼎王麻辣鍋(台北長安店),4.4,10,火鍋中港
子辣。個人。麻辣,4.2,56,火鍋中港
海底撈火鍋(新北板橋店),4.8,7,火鍋中港
記得辣,none,none,火鍋中港
邱記麻辣食堂,4.6,371,火鍋中港
鴨香煲(台北八德店),4.8,16,火鍋中港
八兩八臭臭鍋.鐵板便當,4.4,214,火鍋中港
你比從前快樂小火鍋,4.3,33,火鍋中港
狀元紅牛肉火鍋專家(台北中山店),4.5,99,火鍋中港
福來早餐(台北六張犁店),4.6,284,早餐中港
紅橘子精緻早午餐(台北和平店),4.7,4019,早餐中港
餵我早餐TheWhale,4.4,42,早餐中港
紅橘子精緻早午餐(和平二店),4.5,689,早餐中港
麥味登(北市和平店),4.5,920,早餐中港
蘋果203早午餐(台北北醫店),4.5,148,早餐中港
豐滿早午餐(信義世貿店),4.5,89,早餐中港
麥味登(台北松仁店),4.7,107,早餐中港
愛上愛莉(台北松仁店),4.1,17,早餐中港
安好食(台北和平東路店),4.6,215,早餐中港
美味坊,4.5,88,早餐中港
活力飯糰(台北大安店),4.5,100,早餐中港
美聚客早午餐,4.6,313,早餐中港
初飽飽鐵板土司專賣店,4.6,423,早餐中港
紅橘子精緻早午餐(台北延吉店),4.6,414,早餐中港
丸米飯糰,4.7,4,早餐中港
嘉嘉漢堡(北市中正店),4.6,482,早餐中港
恩恩漢堡早午餐,4.6,74,早餐中港
兔Dreams早午餐,4.9,31,早餐飲料中港
好運來早午餐店,4.6,1808,早餐飲料中港
綠蓋茶館(誠品台大店),5,1,百貨美食節中港
18獨享鍋(誠品敦南店),4.5,865,百貨美食節中港
炸去啃(SOGO百貨忠孝館),4.8,6,百貨美食節中港
繼光香香雞(誠品信義店),5,6,百貨美食節中港
SupremeSalmon美威鮭魚(誠品信義店),5,2,百貨美食節中港
于記杏仁(誠品敦南店),4.6,202,百貨美食節中港甜點
茶茶小王子(誠品敦南店),4.7,14,百貨美食節中港飲料
天仁喫茶趣TOGO(誠品敦南店),4.7,545,百貨美食節中港飲料
葉味香(SOGO百貨復興館),4.5,2,百貨美食節中港麵類
咖哩王子(台北臨江店),4.6,73,咖哩中港
紅豆食府(SOGO百貨敦化館),4.8,17,便當FS_SOGO88中港
鬍鬚張魯肉飯(台北大安店),4.6,601,便當中港
佳家手作餐盒,4.4,311,便當中港
日日好食光,3.6,3,便當中港
金婆食堂,4.1,71,便當中港
鬍鬚張魯肉飯(台北通化店),4.6,1231,便當中港
草根今健康餐盒,4.8,47,便當中港
佳典魯肉飯(台北汀洲店),4.6,460,便當中港
肉伯火雞肉飯,4.6,2671,便當中港
來碗Laksa,4.3,68,便當中港
吃吃喝喝現做餐盒關東煮,4.5,29,便當中港
鬍鬚張魯肉飯(台北南昌店),4.6,578,便當中港
鬍鬚張魯肉飯(忠孝新生店),4.6,1127,便當中港
嘟嘟,4.6,12,便當中港
金鳳錦燒鵝,4.4,21,便當中港
新東陽麥記燒臘(台北忠孝一店),4.5,360,便當中港
秧米YumeatRice,4.6,737,便當中港
吳媽海南雞飯(台北杭州店),4.2,63,便當中港
鬍鬚張魯肉飯(台北華山店),4.6,1056,便當中港
