,店名,星級,評論數,分類,適合人數(1、2-4、5),心情(好、普、爛)
618,韓記老虎麵食館(台北金華店),4.7,3097,麵類中港,2,1
619,956麵館,4.4,262,麵類中港,2,2
620,砂鍋煲麵,4.1,109,麵類中港,3,2
621,伍柒玖牛肉麵(台北通化店),4.4,273,麵類中港,1,1
625,小美好牛肉麵,4.5,91,麵類中港,1,2
627,青藏老牌牛肉麵,4.3,330,麵類中港,2,1
628,潮饌麵府,4.3,176,麵類中港,3,1
630,天下三絕麵食館,4.5,471,麵類中港,3,2
634,楊記刀削麵館,4.6,115,麵類中港,3,2
635,東區最強-L牛肉麵,4.4,168,麵類中港,3,2
636,伍柒玖牛肉麵(台北延吉店),4.4,1042,麵類中港,2,2
637,麵屋牛一,4.5,85,麵類中港,1,2
638,品方小館,4.5,103,麵類中港,1,1
639,韓記老虎麵食館(台北微風店),4.7,3062,麵類中港,2,2
640,市府海鮮麵疙瘩,4.3,1474,麵類中港,1,1
641,重熙老麵,4.7,140,麵類中港,1,2
643,朕點麻小面,4.5,317,麵類中港,2,2
645,赤牛城,4.4,149,麵類中港,2,2
646,史大華精緻麵食,4.7,123,麵類中港,1,3
647,南川麵館,4.5,126,麵類中港,3,2
648,八麵玲瓏麵食館,4.4,291,麵類中港,2,2
649,元氣家族麵飯館(大安信義店),4.3,92,麵類中港,3,1
651,老蘿蔔麵食,4.6,145,麵類中港,2,2
657,甘泉魚麵(台北新生店),4.6,1056,麵類中港,2,1
658,來一鍋,4.3,207,麵類中港,1,3
660,傻瓜乾麵魚丸,4.3,278,麵類中港,1,2
662,林家高元牛肉麵,4.4,136,麵類中港,1,1
664,涼夏麵,4.6,116,麵類中港,2,1
665,7號雞腿排,4.7,210,麵類中港,1,1
666,林記麻醬麵,4.5,179,麵類中港,2,2
668,阿珠廚房,4.3,113,麵類中港,3,2
671,品味小廚貓耳麵專賣,4.7,206,麵類中港,2,2
674,鋤拉米鍋燒麵專賣,4.4,148,麵類中港,1,2
676,麻膳堂(誠品敦南店),4.4,439,麵類百貨美食節中港,1,1
677,朕點麻小面(台北忠孝店),4.5,457,麵類飲料中港,2,2
679,開喜鐵板料理,4.3,100,鐵板燒中港,1,1
680,大港鐵板燒,4.5,102,鐵板燒中港,1,3
681,12MINI(捷運公館店),4.7,630,火鍋飲料,1,3
682,12MINI(忠孝復興店),4.8,913,火鍋飲料,2,3
688,ISAACToast&Coffee(SOGO百貨忠孝館),4.8,82,三明治FS_SOGO88日韓,1,3
689,韓國時間,4.2,248,小吃日韓,3,1
692,新平洞,4.3,146,小吃日韓,2,3
693,孔陵一隻雞,4.7,277,小吃日韓,3,3
696,燒燒YAKIYAKI(台北大安店),4.3,141,小吃日韓,2,3
697,佐藤精肉店akiba,4.5,163,小吃日韓,1,3
700,東京純豆腐(台北信義威秀店),4.4,227,小吃日韓,2,1
701,鮮味屋韓式料理,4.3,319,小吃日韓,3,1
702,日船章魚小丸子(台北師大店),4.7,152,小吃日韓,1,1
703,Hi!Sushi海壽司(台北信通店),4.5,547,小吃日韓,2,1
704,朝鮮閣,4.4,367,小吃日韓,3,2
705,MeatLove橡木炭火韓國烤肉,4.4,759,小吃日韓,2,3
707,月島文字燒(台北忠孝店),4.5,403,小吃日韓,2,1
710,築2和風料理,4.5,332,小吃日韓,2,2
714,燒瞎關東煮,4.1,203,小吃日韓,1,2
715,章愛家丼飯炒麵燒專賣店(台北中華店),4.5,83,小吃日韓,2,1
716,福海鮮屋,4.3,110,小吃日韓,1,1
724,Woodid手作韓食,4.4,146,日韓,3,2
727,太陽蕃茄拉麵,4.6,462,日韓,2,1
733,博多拉麵(台北大安店),4.7,2037,日韓,1,1
743,小原田日式料理(大安永康店),4.4,81,日韓,2,1
753,盛。餐酒坊,4.5,92,日韓,3,1
761,一番屋,4.2,159,日韓火鍋,3,3
763,Sukiya(大安店),4.7,3040,日韓便當,2,2
764,Sukiya(忠孝復興店),4.6,1516,日韓便當,1,2
765,幸屋日式手作料理,4.4,79,日韓便當,3,2
766,日式丼飯,4.4,739,日韓便當,2,3
767,津豚咖哩飯丼炒飯,4.5,933,日韓便當,1,2
770,九湯屋(台北信義莊敬店),4.6,88,日韓麵類,1,2
773,濟州豆腐鍋之家,4.2,647,火鍋日韓,3,3
774,林家匠,4.5,191,火鍋日韓,2,2
776,赫氏韓味食坊,4,192,火鍋日韓,2,1
777,銀兔湯咖哩(台北信義店),4.7,106,早餐日韓,1,3
783,七見櫻堂(誠品敦南店),4.3,219,百貨美食節飲料日韓,2,1
784,金州韓式料理(誠品敦南店),4.1,521,百貨美食節黎巴嫩料理日韓,3,1
786,銀兔湯咖哩(台北師大本店),4.6,172,咖哩日韓,3,3
788,靚宅咖哩,4.1,102,咖哩日韓,2,2
790,呂舖食堂,4.7,108,咖哩日韓,1,1
792,黑武藏壽司(南機場店),4.6,296,東南亞日韓,3,1
793,黑武藏壽司(台北通化店),4.4,238,東南亞日韓,2,1
794,越韓小館,4.1,987,東南亞日韓,3,2
795,黑武藏壽司(台北北醫店),4.5,121,東南亞日韓,3,2
797,吉野家Yoshinoya(台北台大店),4.6,782,便當日韓,2,2
799,吉野家Yoshinoya(台北古亭店),4.7,1428,便當日韓,1,2
800,吉屋食堂(古亭店),4.2,581,便當日韓,2,1
801,RiceCafe杓文字,4.5,171,便當日韓,2,1
802,Sukiya(古亭店),4.7,7106,便當日韓,3,2
803,吉野家Yoshinoya(大安東門店),4.6,156,便當日韓,1,3
804,職人丼深夜食堂,4.6,462,便當日韓,2,3
805,EbisuKitchen,4.7,303,便當日韓,2,1
806,大戶屋(台北忠孝復興店),4.7,1051,便當日韓,3,1
807,吉野家Yoshinoya(台北南門店),4.7,186,便當日韓,2,2
809,勝博殿(光復店),4.8,221,便當日韓,2,1
810,大戶屋(微風南山店),4.6,123,便當日韓,2,1
811,吉野家Yoshinoya(台北忠孝店),4.7,593,便當日韓,3,2
812,Sukiya(國父紀念館店),4.7,7690,便當日韓,2,1
817,開丼燒肉v.s丼飯(信義A8店),4.4,142,便當日韓,2,1
818,Ha醬炙燒,4.5,108,便當日韓,3,3
819,吉野家Yoshinoya(台北市府店),4.7,2356,便當日韓,2,2
820,拼拼拌Bibimbap,4.5,299,便當日韓,2,1
821,大戶屋(台北南京復興店),4.7,984,便當日韓,1,1
823,橫濱蛋包飯,4.5,368,便當日韓,3,2
824,吉野家Yoshinoya(台北大安店),4.7,2337,便當日韓,3,2
825,彥亭食堂,4.6,174,便當日韓,1,2
827,厚道丼飯,4.5,224,便當日韓,2,2
828,大戶屋(統一時代台北店),4.6,230,便當日韓,3,1
829,CoCo壹番屋咖哩(公館台大店),4.6,133,便當咖哩日韓,2,2
830,起家雞(中正寧波店),4.7,127,炸雞日韓,3,1
831,Tripletwenty韓式炸雞專賣店,4.5,175,炸雞日韓,3,3
833,德相美式加州壽司,4.6,187,美式料理日韓,3,1
835,燒桶子韓風立燒,4.5,132,飲料日韓,3,2
836,摩斯漢堡MosBurger(敦南店),4.7,848,漢堡日韓,2,1
